"","date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","MD","MA","MI","MN","MS","MO","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"79",2014-05-25,17,0,28,19,34,40,13,24,38,33,45,29,28,25,17,18,19,34,32,23,0,21,41,38,32,48,27,47,38,21,32,17,43,32,28,22,38,19,24,0,10,0,29,30,16,65,18,18,20,36,0
"80",2014-06-01,32,34,21,38,26,28,11,37,34,40,48,58,19,30,23,18,23,11,46,22,0,39,13,19,26,24,26,47,0,16,24,24,12,16,41,23,39,21,22,23,35,0,32,22,15,32,14,27,0,15,0
"81",2014-06-08,65,35,23,0,36,20,19,0,18,44,26,0,0,28,12,37,42,0,16,34,0,80,13,19,35,47,25,14,36,11,16,28,24,33,18,21,21,12,10,0,22,0,23,30,18,32,17,56,40,16,51
"82",2014-06-15,25,69,27,40,25,23,20,25,33,36,14,29,0,24,24,0,18,62,22,24,0,40,42,0,23,24,36,18,0,29,32,20,50,16,37,12,44,25,16,25,8,23,28,19,36,35,12,23,56,15,0
"83",2014-06-22,24,34,27,30,33,16,41,0,47,27,30,42,19,14,30,18,26,12,21,24,34,0,34,20,26,70,30,50,0,9,16,20,37,19,23,9,22,29,18,24,30,23,14,21,26,0,24,29,28,24,0
"84",2014-06-29,25,0,37,32,21,32,71,0,18,29,37,29,40,16,52,19,29,26,11,47,0,43,21,21,19,0,26,19,38,35,0,17,21,23,30,26,25,45,19,0,19,25,38,26,37,0,16,31,27,31,0
"85",2014-07-06,61,33,28,49,23,29,41,0,20,22,38,29,0,30,24,18,20,24,11,23,33,20,13,21,32,0,38,12,36,26,32,16,32,25,25,27,24,21,12,0,23,22,36,27,34,33,15,14,0,16,0
"86",2014-07-13,52,34,36,39,24,30,13,38,16,32,28,42,0,18,36,18,24,19,30,23,33,21,25,20,24,0,25,22,0,32,33,20,25,8,20,27,48,35,16,0,25,0,13,28,33,0,12,24,50,16,0
"87",2014-07-20,15,0,16,20,34,17,27,0,32,27,46,55,0,24,35,18,24,37,15,0,0,20,25,41,19,23,32,33,35,25,41,16,24,24,24,32,24,35,18,0,8,0,18,28,26,0,11,21,0,43,0
"88",2014-07-27,30,0,23,19,36,22,13,24,22,35,34,59,0,26,23,36,56,24,10,0,0,41,19,0,21,23,27,27,36,18,41,8,12,15,23,26,25,27,26,0,25,23,58,33,25,0,13,18,0,38,0
"89",2014-08-03,16,0,24,20,32,30,30,25,47,37,27,16,20,31,30,19,51,24,24,23,0,0,20,21,14,24,29,26,0,19,52,12,22,30,18,21,52,46,12,24,22,0,14,25,0,0,23,45,39,8,50
"90",2014-08-10,15,0,15,19,34,30,15,23,22,39,41,29,19,35,44,17,30,27,56,0,0,20,50,0,32,22,32,43,0,29,32,19,28,33,37,23,24,25,16,23,41,0,22,33,0,32,22,27,36,23,0
"91",2014-08-17,56,0,30,37,39,31,24,24,24,32,42,43,37,29,21,49,18,50,24,22,0,0,31,30,30,22,32,32,0,18,63,8,24,32,40,26,35,33,43,23,17,0,35,29,16,33,22,20,0,23,0
